id,ground_truth,predicted,correct,initial_answer
questao_01,A,A,True,A
questao_02,A,A,True,D
questao_03,C,C,True,C
questao_04,E,E,True,E
questao_05,A,A,True,A
questao_06,C,E,False,C
questao_07,B,B,True,B
questao_08,E,E,True,E
questao_09,D,A,False,A
questao_10,A,A,True,A
questao_11,D,D,True,D
questao_12,E,E,True,E
questao_13,E,E,True,E
questao_14,B,B,True,B
questao_15,D,D,True,D
questao_16,D,D,True,D
questao_17,B,B,True,B
questao_18,D,D,True,D
questao_19,B,A,False,B
questao_20,B,B,True,B
questao_21,C,D,False,D
questao_22,E,E,True,E
questao_23,E,E,True,E
questao_24,C,B,False,B
questao_25,B,E,False,B
questao_26,D,C,False,C
questao_27,C,C,True,C
questao_28,B,E,False,E
questao_29,A,D,False,D
questao_30,D,D,True,D
questao_31,D,C,False,D
questao_32,D,D,True,D
questao_33,C,A,False,C
questao_34,B,B,True,B
questao_35,D,D,True,D
questao_36,E,E,True,E
questao_37,D,D,True,D
questao_38,D,D,True,D
questao_39,C,C,True,C
questao_40,E,E,True,E
questao_41,C,C,True,C
questao_42,B,B,True,B
questao_43,E,E,True,E
questao_44,C,C,True,C
questao_45,E,E,True,E
questao_46,A,A,True,A
questao_47,C,C,True,C
questao_48,B,B,True,B
questao_49,C,C,True,C
questao_50,A,A,True,A
questao_51,D,D,True,D
questao_52,C,C,True,C
questao_53,E,E,True,E
questao_54,D,D,True,D
questao_55,B,B,True,B
questao_56,A,A,True,E
questao_57,E,E,True,E
questao_58,C,C,True,C
questao_59,E,E,True,E
questao_60,D,D,True,D
questao_61,A,A,True,A
questao_62,D,D,True,D
questao_63,B,B,True,B
questao_64,A,A,True,A
questao_65,D,D,True,D
questao_66,B,A,False,B
questao_67,E,E,True,E
questao_68,B,B,True,B
questao_69,C,C,True,C
questao_70,D,D,True,D
questao_71,A,A,True,A
questao_72,D,D,True,D
questao_73,A,A,True,A
questao_74,B,B,True,B
questao_75,C,C,True,C
questao_76,D,D,True,D
questao_77,E,E,True,E
questao_78,A,A,True,E
questao_79,B,B,True,B
questao_80,C,C,True,C
questao_81,A,A,True,A
questao_82,E,E,True,E
questao_83,D,D,True,D
questao_84,E,E,True,E
questao_85,B,B,True,B
questao_86,B,B,True,B
questao_87,C,C,True,C
questao_88,E,E,True,E
questao_89,C,C,True,C
questao_90,E,E,True,E
questao_91,D,D,True,D
questao_92,D,B,False,B
questao_93,B,B,True,B
questao_94,D,D,True,D
questao_95,D,D,True,D
questao_96,E,E,True,E
questao_97,B,B,True,B
questao_98,B,A,False,B
questao_99,A,A,True,A
questao_100,A,A,True,A
questao_101,E,D,False,D
questao_102,D,E,False,E
questao_103,E,D,False,D
questao_104,C,B,False,B
questao_105,B,B,True,B
questao_106,C,C,True,C
questao_107,E,E,True,E
questao_108,E,B,False,B
questao_109,D,D,True,D
questao_110,C,A,False,B
questao_111,A,A,True,D
questao_112,A,A,True,A
questao_113,C,C,True,C
questao_114,D,A,False,A
questao_115,B,B,True,B
questao_116,B,C,False,D
questao_117,C,D,False,D
questao_118,E,E,True,B
questao_119,D,E,False,E
questao_120,B,A,False,A
questao_121,B,B,True,B
questao_122,A,B,False,B
questao_123,E,E,True,E
questao_124,Anulado,B,False,B
questao_125,C,B,False,B
questao_126,C,C,True,C
questao_127,A,A,True,A
questao_128,E,C,False,C
questao_129,A,C,False,A
questao_130,A,E,False,E
questao_131,C,A,False,A
questao_132,C,C,True,C
questao_133,A,A,True,A
questao_134,E,E,True,E
questao_135,D,D,True,D
questao_136,C,D,False,C
questao_137,E,D,False,C
questao_138,B,B,True,B
questao_139,C,A,False,A
questao_140,E,D,False,D
questao_141,A,A,True,A
questao_142,D,D,True,D
questao_143,B,B,True,B
questao_144,B,B,True,B
questao_145,C,A,False,B
questao_146,E,E,True,C
questao_147,A,B,False,B
questao_148,D,D,True,D
questao_149,D,D,True,B
questao_150,D,D,True,D
questao_151,A,B,False,A
questao_152,B,D,False,D
questao_153,B,B,True,B
questao_154,A,E,False,D
questao_155,B,B,True,B
questao_156,B,B,True,B
questao_157,C,B,False,B
questao_158,C,C,True,C
questao_159,D,D,True,D
questao_160,C,A,False,A
questao_161,C,A,False,A
questao_162,E,E,True,E
questao_163,C,A,False,C
questao_164,E,B,False,B
questao_165,D,E,False,E
questao_166,B,D,False,D
questao_167,A,E,False,E
questao_168,C,C,True,C
questao_169,A,A,True,B
questao_170,D,B,False,A
questao_171,E,A,False,C
questao_172,C,C,True,C
questao_173,A,A,True,A
questao_174,B,A,False,A
questao_175,E,E,True,E
questao_176,D,D,True,D
questao_177,A,C,False,B
questao_178,D,D,True,D
questao_179,C,E,False,C
questao_180,B,C,False,A
